,Date,Actual,Predicted
361,2017-06-27,1.0,1.0
158,2016-12-06,0.0,0.0
478,2017-10-22,0.0,1.0
533,2017-12-16,0.0,0.0
275,2017-04-02,1.0,0.0
362,2017-06-28,1.0,1.0
310,2017-05-07,1.0,1.0
199,2017-01-16,0.0,0.0
522,2017-12-05,0.0,0.0
90,2016-09-29,1.0,1.0
81,2016-09-20,1.0,0.0
264,2017-03-22,0.0,0.0
354,2017-06-20,1.0,1.0
221,2017-02-07,0.0,0.0
211,2017-01-28,0.0,0.0
63,2016-09-02,0.0,0.0
54,2016-08-24,0.0,0.0
599,2018-02-20,0.0,0.0
299,2017-04-26,1.0,0.0
155,2016-12-03,1.0,0.0
109,2016-10-18,1.0,1.0
512,2017-11-25,0.0,0.0
360,2017-06-26,1.0,1.0
334,2017-05-31,1.0,0.0
632,2018-03-25,0.0,0.0
603,2018-02-24,0.0,1.0
256,2017-03-14,0.0,0.0
615,2018-03-08,0.0,0.0
514,2017-11-27,0.0,0.0
76,2016-09-15,1.0,1.0
667,2018-04-29,1.0,0.0
552,2018-01-04,0.0,0.0
518,2017-12-01,0.0,0.0
135,2016-11-13,1.0,1.0
136,2016-11-14,1.0,1.0
101,2016-10-10,1.0,1.0
72,2016-09-11,1.0,0.0
289,2017-04-16,1.0,0.0
10,2016-07-11,0.0,0.0
656,2018-04-18,0.0,1.0
577,2018-01-29,0.0,0.0
319,2017-05-16,1.0,1.0
31,2016-08-01,0.0,0.0
554,2018-01-06,0.0,0.0
396,2017-08-01,1.0,1.0
464,2017-10-08,1.0,0.0
623,2018-03-16,0.0,0.0
118,2016-10-27,0.0,0.0
55,2016-08-25,0.0,0.0
257,2017-03-15,0.0,0.0
593,2018-02-14,0.0,1.0
346,2017-06-12,1.0,1.0
77,2016-09-16,1.0,1.0
569,2018-01-21,0.0,0.0
78,2016-09-17,1.0,1.0
638,2018-03-31,0.0,0.0
575,2018-01-27,0.0,0.0
336,2017-06-02,1.0,1.0
352,2017-06-18,1.0,1.0
181,2016-12-29,0.0,0.0
164,2016-12-12,0.0,0.0
120,2016-10-29,1.0,1.0
2,2016-07-03,0.0,0.0
165,2016-12-13,0.0,0.0
479,2017-10-23,0.0,1.0
664,2018-04-26,0.0,0.0
626,2018-03-19,0.0,0.0
300,2017-04-27,1.0,1.0
60,2016-08-30,0.0,0.0
133,2016-11-11,1.0,1.0
30,2016-07-31,0.0,0.0
69,2016-09-08,0.0,0.0
292,2017-04-19,1.0,1.0
468,2017-10-12,0.0,1.0
44,2016-08-14,0.0,0.0
70,2016-09-09,0.0,0.0
338,2017-06-04,0.0,1.0
182,2016-12-30,0.0,0.0
497,2017-11-10,0.0,0.0
655,2018-04-17,0.0,1.0
452,2017-09-26,0.0,0.0
176,2016-12-24,0.0,0.0
536,2017-12-19,0.0,0.0
65,2016-09-04,0.0,0.0
616,2018-03-09,0.0,0.0
49,2016-08-19,0.0,0.0
148,2016-11-26,1.0,1.0
367,2017-07-03,1.0,1.0
39,2016-08-09,0.0,0.0
637,2018-03-30,0.0,0.0
306,2017-05-03,1.0,1.0
6,2016-07-07,0.0,0.0
621,2018-03-14,0.0,0.0
665,2018-04-27,0.0,0.0
210,2017-01-27,0.0,1.0
649,2018-04-11,0.0,0.0
131,2016-11-09,1.0,1.0
331,2017-05-28,1.0,1.0
318,2017-05-15,1.0,1.0
627,2018-03-20,0.0,0.0
86,2016-09-25,1.0,0.0
462,2017-10-06,0.0,0.0
281,2017-04-08,0.0,1.0
559,2018-01-11,0.0,0.0
622,2018-03-15,0.0,1.0
636,2018-03-29,0.0,0.0
470,2017-10-14,0.0,0.0
41,2016-08-11,0.0,1.0
192,2017-01-09,0.0,0.0
108,2016-10-17,1.0,0.0
602,2018-02-23,0.0,0.0
56,2016-08-26,1.0,0.0
311,2017-05-08,1.0,1.0
494,2017-11-07,0.0,0.0
284,2017-04-11,1.0,0.0
132,2016-11-10,1.0,0.0
220,2017-02-06,0.0,0.0
250,2017-03-08,1.0,0.0
